city,dates,match_type,outcome,overs,player_of_match,venue,winner,opposition,toss_winner,toss_decision
Leicester,2017-07-15,ODI,"{by={runs=15}, winner=Sri Lanka}",50,[HHC Gunaratne],Grace Road,Sri Lanka,Pakistan, Sri Lanka,bat
,2017-06-30,ODI,"{by={wickets=6}, winner=Zimbabwe}",50,[SF Mire],Galle International Stadium,Zimbabwe, Zimbabwe, Sri Lanka,bat
,2017-07-02,ODI,"{by={wickets=7}, winner=Sri Lanka}",50,[PADLR Sandakan],Galle International Stadium,Sri Lanka, Zimbabwe, Sri Lanka,field
Hambantota,2017-07-06,ODI,"{by={wickets=8}, winner=Sri Lanka}",50,[MD Gunathilaka],"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka, Zimbabwe, Sri Lanka,field
Hambantota,2017-07-08,ODI,"{by={wickets=4}, method=D/L, winner=Zimbabwe}",50,[CR Ervine],"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Zimbabwe, Zimbabwe, Sri Lanka,bat
Hambantota,2017-07-10,ODI,"{by={wickets=3}, winner=Zimbabwe}",50,[Sikandar Raza],"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Zimbabwe, Zimbabwe, Zimbabwe,field
London,2006-06-17,ODI,"{by={runs=20}, winner=Sri Lanka}",50,[WU Tharanga],Lord's,Sri Lanka,England, England,field
London,2006-06-20,ODI,"{by={runs=46}, winner=Sri Lanka}",50,[ST Jayasuriya],Kennington Oval,Sri Lanka,England, Sri Lanka,bat
Chester-le-Street,2006-06-24,ODI,"{by={wickets=8}, winner=Sri Lanka}",50,[DPMD Jayawardene],Riverside Ground,Sri Lanka,England, England,bat
Manchester,2006-06-28,ODI,"{by={runs=33}, winner=Sri Lanka}",50,[DPMD Jayawardene],Old Trafford,Sri Lanka,England, Sri Lanka,bat
Leeds,2006-07-01,ODI,"{by={wickets=8}, winner=Sri Lanka}",50,[ST Jayasuriya],Headingley,Sri Lanka,England, England,bat
Southampton,2006-06-15,T20,"{by={runs=2}, winner=Sri Lanka}",20,[ST Jayasuriya],The Rose Bowl,Sri Lanka,England, Sri Lanka,bat
,2006-01-22,ODI,"{by={runs=51}, winner=Sri Lanka}",50,[ST Jayasuriya],Sydney Cricket Ground,Sri Lanka,Australia, Sri Lanka,bat
,2006-01-26,ODI,"{by={wickets=5}, winner=Australia}",50,[A Symonds],Adelaide Oval,Australia,Australia, Sri Lanka,bat
Perth,2006-01-29,ODI,"{by={wickets=6}, winner=Australia}",50,[AC Gilchrist],Western Australia Cricket Association Ground,Australia,Australia, Sri Lanka,bat
Brisbane,2006-01-17,ODI,"{by={runs=94}, winner=Sri Lanka}",50,[KC Sangakkara],"Brisbane Cricket Ground, Woolloongabba",Sri Lanka,South Africa, South Africa,field
,2006-01-24,ODI,"{by={runs=9}, winner=South Africa}",50,[HH Dippenaar],Adelaide Oval,South Africa,South Africa, South Africa,bat
Perth,2006-01-31,ODI,"{by={wickets=5}, winner=South Africa}",50,[GC Smith],Western Australia Cricket Association Ground,South Africa,South Africa, Sri Lanka,bat
Hobart,2006-02-07,ODI,"{by={runs=76}, winner=Sri Lanka}",50,[HMCM Bandara],Bellerive Oval,Sri Lanka,South Africa, Sri Lanka,bat
Christchurch,2006-01-03,ODI,"{by={wickets=5}, winner=New Zealand}",50,[WU Tharanga],Jade Stadium,New Zealand,New Zealand, New Zealand,field
Wellington,2006-01-06,ODI,"{by={runs=21}, winner=New Zealand}",50,[JS Patel],Westpac Stadium,New Zealand,New Zealand, New Zealand,bat
,2006-02-10,ODI,"{by={runs=22}, winner=Sri Lanka}",50,[KC Sangakkara],Adelaide Oval,Sri Lanka,Australia, Sri Lanka,bat
,2006-02-12,ODI,"{by={runs=167}, winner=Australia}",50,[A Symonds],Sydney Cricket Ground,Australia,Australia, Australia,bat
Brisbane,2006-02-14,ODI,"{by={wickets=9}, winner=Australia}",50,[AC Gilchrist],"Brisbane Cricket Ground, Woolloongabba",Australia,Australia, Sri Lanka,bat
Bogra,2006-02-20,ODI,"{by={wickets=5}, winner=Sri Lanka}",50,[PDRL Perera],Shaheed Chandu Stadium,Sri Lanka,Bangladesh, Bangladesh,bat
Bogra,2006-02-22,ODI,"{by={wickets=4}, winner=Bangladesh}",50,[Aftab Ahmed],Shaheed Chandu Stadium,Bangladesh,Bangladesh, Bangladesh,field
,2006-02-25,ODI,"{by={runs=78}, winner=Sri Lanka}",50,[KC Sangakkara],Chittagong Divisional Stadium,Sri Lanka,Bangladesh, Bangladesh,field
Colombo,2006-03-17,ODI,{result=no result},50,,R Premadasa Stadium,no result, Pakistan, Sri Lanka,field
Colombo,2006-03-19,ODI,"{by={wickets=4}, winner=Pakistan}",50,[Abdul Razzaq],R Premadasa Stadium,Pakistan, Pakistan, Pakistan,field
Colombo,2006-03-22,ODI,"{by={wickets=4}, winner=Pakistan}",50,[Shahid Afridi],Sinhalese Sports Club Ground,Pakistan, Pakistan, Pakistan,field
Trinidad,2007-03-15,ODI,"{by={runs=243}, winner=Sri Lanka}",50,[DPMD Jayawardene],"Queen's Park Oval, Port of Spain",Sri Lanka,Bermuda, Sri Lanka,bat
Trinidad,2007-03-21,ODI,"{by={runs=198}, method=D/L, winner=Sri Lanka}",50,[ST Jayasuriya],"Queen's Park Oval, Port of Spain",Sri Lanka,Bangladesh, Bangladesh,field
Trinidad,2007-03-23,ODI,"{by={runs=69}, winner=Sri Lanka}",50,[M Muralitharan],"Queen's Park Oval, Port of Spain",Sri Lanka,India, India,field
Guyana,2007-03-28,ODI,"{by={wickets=1}, winner=South Africa}",50,"[CK Langeveldt, SL Malinga]",Providence Stadium,South Africa,South Africa, Sri Lanka,bat
